"","box","JID","sex","year"
"170","Z40","J1962","M",2023
"171","Z41","J2331","M",2023
"172","Z42","J2563","M",2023
"173","Z43","J4534","M",2023
"174","Z44","J587","M",2023
"175","Z45","J2783","M",2023
"176","X18","J4536","M",2023
"177","X20","J4970","M",2023
"178","X21","J3874","M",2023
"179","X22","J4964","M",2023
"180","X23","J1342","M",2023
"181","X25","J3461","M",2023
"182","X27","J5470","M",2023
"183","X31","J2576","M",2023
"184","X32","J5124","M",2023
"185","X33","J4963","M",2023
"186","X35","J3470","M",2023
"187","X36","J5496","M",2023
"188","X38","J4166","M",2023
"189","X39","J1347","M",2023
"190","Y01","J1031","F",2023
"191","Y02","J3899","F",2023
"192","Y03","J3283","F",2023
"193","Y04","J2994","F",2023
"194","Y05","J4109","F",2023
"195","Y06","J4954","F",2023
"196","Y07","J3492","F",2023
"197","Y08","J1182","F",2023
"198","Y09","J2403","F",2023
"199","Y10","J4943","F",2023
"200","Y11","J1366","F",2023
"201","Y12","J1903","F",2023
"202","Y14","J2980","F",2023
"203","Y16","J4104","F",2023
"204","Y17","J5090","F",2023
"205","Y18","J3698","F",2023
"206","Y19","J3987","F",2023
"207","Y20","J792","F",2023
"208","Y21","J2485","F",2023
"209","Y22","J4645","F",2023
"210","Y23","J505","F",2023
"211","Y24","J1318","F",2023
"212","Y25","J1893","F",2023
"213","Y26","J2952","F",2023
"214","Y27","J1056","F",2023
"215","Y28","J1618","F",2023
"216","Y29","J295","F",2023
"217","Y30","J2460","F",2023
"218","Y31","J5088","F",2023
"219","Y32","J1046","F",2023
"220","Y33","J1902","F",2023
"221","Y34","J1317","F",2023
"222","Y35","J5089","F",2023
"223","Z02","J3631","F",2023
"224","Z03","J1154","F",2023
"225","Z05","J2951","F",2023
"226","Z06","J3715","F",2023
"227","Z07","J615","F",2023
"228","Z08","J4510","F",2023
"229","Z10","J42","F",2023
"230","Z11","J1964","F",2023
"231","Z13","J2375","F",2023
"232","Z14","J41","F",2023
"233","Z15","J164","F",2023
"234","Z16","J1001","F",2023
"235","Z17","J990","F",2023
"236","Z18","J1419","F",2023
"237","Z19","J2680","F",2023
"238","Z20","J664","F",2023
"239","Z21","J1783","F",2023
"240","Z22","J1556","F",2023
"241","Z23","J2500","F",2023
"242","Z24","J218","F",2023
"243","Z25","J2394","F",2023
"244","Z26","J4511","F",2023
"245","Z27","J1222","F",2023
"246","Z28","J1979","F",2023
"247","Z29","J2377","F",2023
"248","Z30","J1973","F",2023
"249","Z31","J2701","F",2023
"250","Z32","J1916","F",2023
"251","Z33","J1908","F",2023
"252","Z35","J2415","F",2023
"253","Z38","J3983","F",2023
"254","Z39","J56","F",2023
"255","Z40","J980","F",2023
"256","Z41","J2969","F",2023
"257","Z42","J3822","F",2023
"258","Z43","J4512","F",2023
"259","Z44","J908","F",2023
"260","Z45","J3508","F",2023
"261","X18","J4508","F",2023
"262","X20","J4942","F",2023
"263","X21","J4525","F",2023
"264","X22","J4509","F",2023
"265","X23","J3326","F",2023
"266","X25","J4949","F",2023
"267","X27","J4537","F",2023
"268","X31","J4950","F",2023
"269","X32","J5123","F",2023
"270","X33","J4941","F",2023
"271","X35","J3479","F",2023
"272","X36","J5126","F",2023
"273","X38","J5320","F",2023
"274","X39","J2410","F",2023
"275","Y05","J4954","F",2022
"276","Y06","J3791","F",2022
"277","Y07","J3492","F",2022
"278","Y10","J4943","F",2022
"279","Y19","J3987","F",2022
"280","Y20","J1323","F",2022
"281","Y24","J1318","F",2022
"282","Y29","J295","F",2022
"283","Z06","J3983","F",2022
"284","Z07","J615","F",2022
"285","Z14","J2154","F",2022
"286","Z21","J1783","F",2022
"287","Z23","J3866","F",2022
"288","Z38","J1355","F",2022
"289","Z39","J56","F",2022
"290","Z40","J1962","F",2022
"291","Z42","J3822","F",2022
"292","Z43","J4512","F",2022
"293","Z44","J908","F",2022
"294","Z45","J3508","F",2022
"295","Y05","J516","M",2022
"296","Y06","J4955","M",2022
"297","Y09","J3467","M",2022
"298","Y10","J104","M",2022
"299","Y19","J4574","M",2022
"300","Y20","J1340","M",2022
"301","Y29","J446","M",2022
"302","Z06","J1879","M",2022
"303","Z07","J618","M",2022
"304","Z14","J4580","M",2022
"305","Z21","J2981","M",2022
"306","Z38","J933","M",2022
"307","Z39","J1345","M",2022
"308","Z40","J1398","M",2022
"309","Z42","J2563","M",2022
"310","Z43","J4534","M",2022
"311","Z44","J587","M",2022
"312","Z45","J2783","M",2022
"313","Y07","J2391","M",2022
"314","Y09","J2403","F",2022
"315","Y24","J4904","M",2022
